pod_id,delivery_id,photo_count,has_signature,signature_quality_score,gps_accuracy_meters,timestamp,notes,is_flagged_suspicious
POD_000001,DEL_000002,3,True,0.8378853121983346,27.08719921412284,2026-01-12 08:57:11.061436,,False
POD_000002,DEL_000004,3,True,0.9060619362362026,8.989261828601865,2026-01-16 09:40:14.452016,,False
POD_000003,DEL_000005,2,True,0.8127712788400667,21.839762220437475,2026-01-17 09:53:58.396823,,False
POD_000004,DEL_000006,3,True,0.7443285569555359,6.399550592134801,2025-10-17 10:25:10.454234,,False
POD_000005,DEL_000007,1,True,0.7317851625889091,7.444314198380387,2025-08-29 10:32:10.809639,,False
POD_000006,DEL_000008,1,True,0.9276120938061388,12.801882423145312,2025-12-30 10:14:41.998513,Customer not available - left with neighbor,False
POD_000007,DEL_000009,1,True,0.94537841138694,25.928192486920562,2025-11-23 11:48:36.093435,,False
POD_000008,DEL_000011,2,True,0.8615577329641666,21.942204839700093,2025-10-20 09:31:21.160874,,False
POD_000009,DEL_000012,3,True,0.844689703253326,18.00721883997658,2026-01-16 09:56:02.543567,Left at reception,False
POD_000010,DEL_000013,3,True,0.9511099421757875,29.368496828076864,2026-01-28 08:38:57.497906,,False
POD_000011,DEL_000014,3,True,0.8633803306064284,9.2494454711831,2025-08-27 10:54:27.379225,,False
POD_000012,DEL_000015,1,True,0.9735149565798918,7.276106405228301,2025-07-01 10:34:26.498532,,False
POD_000013,DEL_000016,1,True,0.7616057936612294,26.717654529674345,2025-07-23 10:32:29.285704,Left at reception,False
POD_000014,DEL_000017,1,True,0.8854829905602033,29.639500504713656,2025-09-10 08:31:10.445433,,False
POD_000015,DEL_000018,3,True,0.8896717321194558,14.215835498210408,2025-11-05 11:09:21.095667,,False
POD_000016,DEL_000019,2,True,0.8945013792916411,7.2992833852603844,2025-08-06 08:45:10.613115,,False
POD_000017,DEL_000020,2,True,0.9691190883164782,29.06530955987767,2025-08-13 11:05:35.214060,,False
POD_000018,DEL_000022,1,True,0.9990034813101326,13.348604916668261,2025-11-03 07:21:11.994526,,False
POD_000019,DEL_000023,0,False,0.3,100.0,2025-12-09 08:37:37.159263,,True
POD_000020,DEL_000027,3,True,0.703924382088029,17.359508028968783,2025-09-13 10:51:05.259585,,False
POD_000021,DEL_000028,3,True,0.9649925784515213,19.645456458720663,2026-01-16 08:08:22.430676,,False
POD_000022,DEL_000029,1,True,0.7260332290607437,24.20936901822275,2026-01-08 11:37:46.838474,,False
POD_000023,DEL_000030,0,False,0.3,100.0,2025-09-24 09:46:29.245833,,True
POD_000024,DEL_000031,2,True,0.8437015635456352,27.698450660772785,2025-10-14 10:12:24.908604,,False
POD_000025,DEL_000032,3,True,0.896761645230427,17.035711043740505,2025-10-12 09:04:16.283488,,False
POD_000026,DEL_000033,2,True,0.9060891425893107,15.153033943399414,2025-11-08 09:51:01.212607,,False
POD_000027,DEL_000034,1,True,0.9122358862166318,20.69360417856865,2025-12-01 10:00:34.144501,Left at reception,False
POD_000028,DEL_000035,2,True,0.9619279714866581,11.308634407364664,2025-08-10 08:43:27.953066,,False
POD_000029,DEL_000036,2,True,0.8056136974398967,23.265312556290183,2025-08-30 11:41:10.069287,,False
POD_000030,DEL_000037,2,True,0.959026263610892,12.36551365725473,2025-07-03 07:55:50.168964,,False
POD_000031,DEL_000038,1,True,0.9172871500418698,18.54317082872997,2025-07-30 10:16:27.332468,,False
POD_000032,DEL_000040,2,True,0.8766191474657163,29.60594600624228,2025-11-05 08:30:57.184428,,False
POD_000033,DEL_000041,2,True,0.7464074051432698,17.652281150370772,2025-08-13 10:01:32.455636,Left at reception,False
POD_000034,DEL_000043,3,True,0.7073793978506215,15.15294648765994,2025-12-24 09:35:26.880595,,False
POD_000035,DEL_000045,3,True,0.8310186875659679,13.95005812792467,2025-11-18 08:59:08.470976,,False
POD_000036,DEL_000046,2,True,0.9238204715224037,11.186787652543593,2025-08-28 08:58:03.805897,Delivered to security,False
POD_000037,DEL_000048,1,True,0.7287502249874137,5.307359319029176,2026-01-15 09:49:14.068192,,False
POD_000038,DEL_000049,3,True,0.8247661966126838,13.247058826823867,2026-01-22 11:07:27.189147,,False
POD_000039,DEL_000050,3,True,0.7264420244895706,21.163091057697706,2025-08-02 10:53:04.130266,,False
POD_000040,DEL_000053,1,True,0.8816782322766901,11.641584311325214,2025-10-14 11:06:29.411881,,False
POD_000041,DEL_000054,1,True,0.7675301119840328,13.496760401141538,2025-12-02 09:55:25.271063,,False
