tracking_id,delivery_id,vehicle_id,timestamp,latitude,longitude,speed_kmh,heading,accuracy_meters
GPS_0000001,DEL_003554,VEH_035,2026-01-27 07:33:00.000000,13.750182240604657,100.55166065224581,46.5,350,19.25609739261073
GPS_0000002,DEL_003554,VEH_035,2026-01-27 07:36:47.459552,13.750861553818105,100.55059589319305,45.9,153,11.137650988724413
GPS_0000003,DEL_003554,VEH_035,2026-01-27 07:40:34.919104,13.748084473002043,100.54976416847204,0.5,182,19.741680739860954
GPS_0000004,DEL_003554,VEH_035,2026-01-27 07:44:22.378657,13.74969146787341,100.54948723273473,6.2,265,13.48487847895597
GPS_0000005,DEL_003554,VEH_035,2026-01-27 07:48:09.838209,13.749996839445524,100.55131667048124,29.4,75,8.16111346149511
GPS_0000006,DEL_003554,VEH_035,2026-01-27 07:51:57.297761,13.75085920588393,100.55077250469012,16.3,198,13.661407380251102
GPS_0000007,DEL_003554,VEH_035,2026-01-27 07:55:44.757313,13.752543991645819,100.54836143278413,31.8,92,13.774707132802588
GPS_0000008,DEL_003554,VEH_035,2026-01-27 07:59:32.216865,13.750631391208266,100.55144076519755,53.8,198,18.969041351375235
GPS_0000009,DEL_003554,VEH_035,2026-01-27 08:03:19.676418,13.749462195758017,100.54833966249677,2.6,328,12.322623094619638
GPS_0000010,DEL_003554,VEH_035,2026-01-27 08:07:07.135970,13.750259044486139,100.5503692864155,46.4,90,8.852751427336166
GPS_0000011,DEL_003554,VEH_035,2026-01-27 08:10:54.595522,13.749879428754785,100.55074498455924,41.4,44,14.786942616889492
GPS_0000012,DEL_003554,VEH_035,2026-01-27 08:14:42.055074,13.749258731169693,100.54984056237888,0.7,230,16.255029803194706
GPS_0000013,DEL_003554,VEH_035,2026-01-27 08:18:29.514626,13.750102529783323,100.54951344024245,28.5,334,9.530771119973862
GPS_0000014,DEL_003554,VEH_035,2026-01-27 08:22:16.974179,13.751249790331842,100.54924768776144,55.0,200,12.998324665675408
GPS_0000015,DEL_003554,VEH_035,2026-01-27 08:26:04.433731,13.751505475260423,100.54936522387325,48.5,234,12.929351384479608
GPS_0000016,DEL_003554,VEH_035,2026-01-27 08:29:51.893283,13.7517159016635,100.55031173832165,14.7,351,5.103130901849245
GPS_0000017,DEL_003554,VEH_035,2026-01-27 08:33:39.352835,13.751206327360014,100.5498294007576,16.0,274,8.177512364480561
GPS_0000018,DEL_003554,VEH_035,2026-01-27 08:37:26.812388,13.748464763609181,100.55024746643944,38.9,287,19.424623402248137
GPS_0000019,DEL_003554,VEH_035,2026-01-27 08:41:14.271940,13.748991937857507,100.55084799666243,11.5,21,14.79489815679058
GPS_0000020,DEL_003554,VEH_035,2026-01-27 08:45:01.731492,13.74980144979995,100.54836116777679,8.8,150,19.315063882244544
GPS_0000021,DEL_003554,VEH_035,2026-01-27 08:48:49.191044,13.750464477485966,100.54976645087866,21.3,159,10.310141494786421
GPS_0000022,DEL_003554,VEH_035,2026-01-27 08:52:36.650596,13.74939102664379,100.55114434168826,37.4,201,19.949687674127382
GPS_0000023,DEL_003554,VEH_035,2026-01-27 08:56:24.110149,13.750974091200304,100.5495212860846,42.4,181,9.538433516250258
GPS_0000024,DEL_003554,VEH_035,2026-01-27 09:00:11.569701,13.751298240448628,100.55009831254102,2.4,339,18.907632076621358
GPS_0000025,DEL_003554,VEH_035,2026-01-27 09:03:59.029253,13.749430918100606,100.54926309478037,48.7,194,16.469690730494797
GPS_0000026,DEL_003554,VEH_035,2026-01-27 09:07:46.488805,13.750121413844694,100.5499425854759,13.3,189,18.597503847878897
GPS_0000027,DEL_003554,VEH_035,2026-01-27 09:11:33.948357,13.749556209417907,100.549408805705,15.9,189,15.043011036779927
GPS_0000028,DEL_003554,VEH_035,2026-01-27 09:15:21.407910,13.749900707535675,100.54817008652135,9.0,149,14.9162183124768
GPS_0000029,DEL_003554,VEH_035,2026-01-27 09:19:08.867462,13.74927803548089,100.54913084444883,0.7,255,7.921075526780346
GPS_0000030,DEL_001527,VEH_028,2025-12-03 07:45:00.000000,13.749221552042147,100.549611245616,37.2,150,6.044632186867563
GPS_0000031,DEL_001527,VEH_028,2025-12-03 07:52:33.271368,13.751061030343378,100.54953628316079,8.1,151,18.134999091984326
GPS_0000032,DEL_001527,VEH_028,2025-12-03 08:00:06.542736,13.75023127956054,100.55156389543325,6.6,253,6.384254334286709
GPS_0000033,DEL_001527,VEH_028,2025-12-03 08:07:39.814104,13.74954754043184,100.54901299690127,42.8,54,7.490971387499713
GPS_0000034,DEL_001527,VEH_028,2025-12-03 08:15:13.085472,13.751346285759201,100.5506997668771,22.4,42,11.46556945219056
GPS_0000035,DEL_001527,VEH_028,2025-12-03 08:22:46.356841,13.749493703784177,100.55021504848114,10.4,253,16.492166607429482
GPS_0000036,DEL_001527,VEH_028,2025-12-03 08:30:19.628209,13.752303756386887,100.54784642044092,18.2,342,10.174552323420162
GPS_0000037,DEL_001527,VEH_028,2025-12-03 08:37:52.899577,13.751502582864422,100.55078845288307,17.2,181,6.1412822304510355
GPS_0000038,DEL_001527,VEH_028,2025-12-03 08:45:26.170945,13.750930522814745,100.550298773412,2.2,219,14.254723813888232
GPS_0000039,DEL_001527,VEH_028,2025-12-03 08:52:59.442313,13.749861655104631,100.54910305586813,3.2,234,19.724791418312925
GPS_0000040,DEL_004384,VEH_007,2025-10-04 07:22:00.000000,13.747716830011397,100.54935565064287,14.2,307,6.422600668214375
GPS_0000041,DEL_004384,VEH_007,2025-10-04 07:24:44.903990,13.750377192382734,100.55069440852343,56.8,206,14.386803723473406
